HSN Code,Description of Goods,Old GST Rate (%),New GST Rate (%)
8306,"Handicraft-Bells, gongs and like, non-electric, of base metal; statuettes, and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal; (including Bidriware, Panchloga artware, idol, Swamimalai bronze icons, dhokra jaali)",12,5
"84, 85 or 94","Following renewable energy devices and parts for their manufacture:- (a) Bio-gas plant; (b) Solar power-based devices; (c) Solar power generator; (d) Wind mills, Wind Operated Electricity Generator (WOEG); (e) Waste to energy plants / devices; (f) Solar lantern / solar lamp; (g) Ocean waves/tidal waves energy devices/plants; (h) Photo voltaic cells, whether or not assembled in modules or made up into panels.",12,5
8401,"Fuel elements (cartridges), non-irradiated, for nuclear reactors",12,5
8407,Spark-ignition reciprocating or rotary internal combustion piston engine [other than aircraft engines],28,18
8408,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines),28,18
8408,Fixed Speed Diesel Engines of power not exceeding 15HP,12,5
8408 20 20,Agricultural Diesel Engine of cylinder capacity exceeding 250 cc for Tractor,18,5
8409,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,28,18
8413,"Pumps for dispensing fuel or lubricants of the type used in filling stations or garages [8413 11], Fuel, lubricating or cooling medium pumps for internal combustion piston engines [8413 30]",28,18
8413 81 90,Hydraulic Pumps for Tractors,18,5
8414 20 20,Other hand pumps,12,5
8415,"Air-conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",28,18
8419 12,Solar water heater and system,12,5
8420,Hand operated rubber roller,12,5
8422,"Dish washing machines, household [8422 11 00] and other [8422 19 00]",28,18
8424,Nozzles for drip irrigation equipment or nozzles for sprinklers,12,5
8424,Sprinklers; drip irrigation system including laterals; mechanical sprayers,12,5
8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers; Parts [8432 90]",12,5
8433,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; parts thereof",12,5
8436,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders; parts thereof",12,5
8452,"Sewing machines, other than book-sewing machine of heading 8440; furniture, bases and covers specially designed for sewing machines; sewing machines needles and parts of sewing machines",12,5
8479,Composting Machines,12,5
8507,"Electric accumulators, including separators therefor, whether or not rectangular (including square) other than Lithium-ion battery and other Lithium-ion accumulators including Lithium-ion power banks",28,18
8511,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, sparking plugs and glow plugs, starter motors); generators (for example, dynamos, alternators) and cut-outs of a kind used in conjunction with such engines",28,18
8525 60,"Two-way radio (Walkie talkie) used by defence, police and paramilitary forces etc",12,5
8528,"Television sets (including LCD and LED television); Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receiver or sound or video recording or reproducing apparatus, set top box for television and Television set (including LCD and LED television).",28,18
87,Fuel Cell Motor Vehicles including hydrogen vehicles based on fuel cell technology,12,5
8701,Tractors (except road tractors for semi-trailers of engine capacity more than 1800 cc),12,5
8701,Road tractors for semi-trailers of engine capacity more than 1800 cc,28,18
8702,"Motor vehicles for the transport of ten or more persons, including the driver [other than buses for use in public transport, which exclusively run on Bio-fuels which is already at 18%]",28,18
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
8703,"Petrol, Liquefied petroleum gases (LPG) or compressed natural gas (CNG) driven motor vehicles of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm.",28,18
8703,Diesel driven motor vehicles of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm.,28,18
8702 or 8703,"Motor vehicles cleared as ambulances duly fitted with all the fitments, furniture and accessories necessary for an ambulance from the factory manufacturing such motor vehicles",28,18
8703,Three wheeled vehicles,28,18
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
"870340, 870360","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity exceeding 1200cc or of length exceeding 4000 mm",28,40
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
"870350, 870370","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity exceeding 1500cc or of length exceeding 4000 mm",28,40
8704,Motor vehicles for the transport of goods [other than Refrigerated motor vehicles which is already at 18%],28,18
8706,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705",28,18
8707,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",28,18
8708,Parts and accessories of the motor vehicles of headings 8701 to 8705 [other than specified parts of tractors],28,18
8708,"Following parts of tractors namely: a. Rear Tractor wheel rim, b. tractor centre housing, c. tractor housing transmission, d. tractor support front axle",18,5
8708 10 10,Bumpers and parts thereof for tractors,18,5
8708 30 00,Brakes assembly and its parts thereof for tractors,18,5
8708 40 00,Gear boxes and parts thereof for tractors,18,5
8708 50 00,Transaxles and its parts thereof for tractors,18,5
8708 70 00,Road wheels and parts and accessories thereof for tractors,18,5
8708 91 00,(i) Radiator assembly for tractors and parts thereof Cooling system for tractor engine and parts thereof,18,5
8708 92 00,Silencer assembly for tractors and parts thereof,18,5
8708 93 00,Clutch assembly and its parts thereof for tractors,18,5
8708 94 00,Steering wheels and its parts thereof for tractor,18,5
8708 99 00,Hydraulic and its parts thereof for tractors,18,5
8708 99 00,"Fender, Hood, wrapper, Grill, Side Panel, Extension Plates, Fuel Tank and parts thereof for tractors",18,5
8710,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles",12,5
8711,"Motor cycles of engine capacity (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars, of an engine capacity not exceeding 350cc; side cars",28,18
8711,Motor cycles of engine capacity exceeding 350 cc,28,40
8712,"Bicycles and other cycles (including delivery tricycles), not motorized",12,5
8714,"Parts and accessories of bicycles and other cycles (including delivery tricycles), not motorised, of 8712",12,5
8714,Parts and accessories of vehicles of heading 8711,28,18
8716 20 00,Self-loading or self-unloading trailers for agricultural purposes,12,5
8716 80,"Hand propelled vehicles (e.g. hand carts, rickshaws and the like); animal drawn vehicles",12,5
8806,Unmanned aircrafts,28/ 18,5
8903,Rowing boats and canoes,28,18
90 or any other Chapter,Blood glucose monitoring system (Glucometer) and test strips,12,5
90 or any other Chapter,Patent Ductus Arteriousus / Atrial Septal Defect occlusion device,12,5
9001,Contact lenses; Spectacle lenses,12,5
9003,"Frames and mountings for spectacles, goggles or the like, and parts thereof",12,5
9004,"Spectacles, corrective [including goggles for correcting vision]",12,5
9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments",12,5
9019,"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus",12,5
9020,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters",12,5
9022,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examinations or treatment tables, chairs and the light",12,5
9025,"Thermometers for medical, surgical, dental or veterinary usage",18,5
9027,"Instruments and apparatus for medical, surgical, dental or veterinary uses for physical or chemical analysis.",18,5
9401 20 00,Seats of a kind used for motor vehicles,28,18
"940150, 9403 80","Handicraft- Furniture of bamboo, rattan and cane",12,5
9403,"Furniture wholly made of bamboo, cane or rattan",12,5
9404,Coir products [except coir mattresses],12,5
9404,Products wholly made of quilted textile material not exceeding Rs. 2500 per piece,12,5
9404,Products wholly made of quilted textile material exceeding Rs. 2500 per piece,12,18
9404,Cotton quilts of sale value exceeding Rs. 2500 per piece,12,18
9405,"Hurricane lanterns, Kerosene lamp / pressure lantern, petromax, glass chimney, and parts thereof",12,5
940510,Handicraft-Handcrafted lamps (including panchloga lamp),12,5
9503,"Toys like tricycles, scooters, pedal cars etc. (including parts and accessories thereof) [other than electronic toys]",12,5
9503,"Handicraft- Dolls or other toys made of wood or metal or textile material [incl wooden toys of sawantwadi, Channapatna toys, Thanjavur doll)",12,5
9504,Handicraft-Ganjifa card,12,5
9504,"Playing cards, chess board, carom board and other board games, like ludo, etc. [other than Video game consoles and Machines]",12,5
9506,Sports goods other than articles and equipment for general physical exercise,12,5
9507,"Fishing rods, and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy “birds” (other than those of heading 9208 or 9705) and similar hunting or shooting requisites",12,5
9601,"Handicraft -Worked ivory, bone, tortoise shell, horn, antlers, mother of pearl, and other animal carving material and articles of these materials, articles of coral (including articles obtained by moulding)",12,5
9602,"Handicraft -Worked vegetable or mineral carving, articles thereof, articles of wax, of stearin, of natural gums or natural resins, or of modelling pastes etc. (including articles of lac, shellac)",12,5
96032100,Tooth brushes including dental-plate brushes,18,5
9607,Slide fasteners and parts thereof,12,5
"9608, 9609","Pencils (including propelling or sliding pencils), crayons, pastels, drawing charcoals, writing or drawing chalk and tailors’ chalk; chalk sticks",12,Nil
9614,"Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof",28,40
9615,"Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof",12,5
"9619 00 30, 9619 00 40, or 9619 00 90","All goods- napkins and napkin liners for babies, clinical diapers",12,5
9701,"Handicraft-Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques incl Mysore painting, Rajasthan painting, Tanjore painting, Palm leaf painting, basoli etc.)",12,5
9702,"Original engravings, prints and lithographs",12,5
9703,"Handicraft -Original sculptures and statuary, in any material",12,5
9705,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archaeological, paleontological, ethnographic or numismatic interest [including numismatic coins]",12,5
9706,Antiques of an age exceeding one hundred years,12,5
9804,All dutiable articles intended for personal use,28,18
9804,All Drugs and medicines intended for personal use,12,5
Any Chapter,"Goods specified in the List required in connection with : (1) Petroleum operations undertaken under petroleum exploration licenses or mining leases, granted by the Government of India or any State Government to the Oil and Natural Gas Corporation or Oil India Limited on nomination basis, or (2) Petroleum operations undertaken under specified contracts, or (3) Petroleum operations undertaken under specified contracts under the New Exploration Licensing Policy, or (4) Petroleum operations undertaken under specified contracts under the Marginal Field Policy (MFP), or (5) Coal bed methane operations undertaken under specified contracts under the Coal Bed Methane Policy.",12,18
"0402 91 10, 0402 99 20",Condensed milk,12,5
813,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 (other than dried tamarind)",12,5
1501,"Pig fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12,5
1502,"Fats of bovine animals, sheep or goats, other than those of heading 1503",12,5
1517,"Edible mixtures or preparations of animal fats or microbial fats or animal oils or microbial oils or of fractions of different animal fats or microbial fats or animal oils or microbial oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",12,5
1517 10,"All goods i.e. Margarine, Linoxyn",18,5
1518,"Animal or microbial fats and animal or microbial oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this chapter, not elsewhere specified of included",12,5
"1701 91, 1701 99","All goods, including refined sugar containing added flavouring or colouring matter, sugar cubes",12,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
1904 [other than 1904 10 20],"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes, Fortified Rice Kernel (FRK)",18,5
1905 or 2106,"Khakhra, chapathi or roti",5,Nil
2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006",12,5
2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006",12,5
"2101 11, 2101 12 00","Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",18,5
2101 30,"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",12,5
2106 90 20,Pan masala*,28,40 (effective date for new rate is yet to be annouced)
2201,Drinking water packed in 20 litre bottles,12,5
"2202 91 00, 2202 99",Other non-alcoholic beverages,18,40
2202 99,"Plant-based milk drinks, ready for direct consumption as beverages",18,5
2202 99 10,Soya milk drinks,12,5
2202 99 20,Fruit pulp or fruit juice based drinks (other than Carbonated Beverages of Fruit Drink or Carbonated Beverages with Fruit Juice),12,5
2202,Carbonated Beverages of Fruit Drink or Carbonated Beverages with Fruit Juice,28,40
2202 99 30,Beverages containing milk,12,5
2202 99 90,Caffeinated Beverages,28,40
2402*,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes",28,40 (effective date for new rate is yet to be annouced)
2403*,Other manufactured tobacco and manufactured tobacco substitutes; “homogenised” or “reconstituted” tobacco; tobacco extracts and essences,28,40 (effective date for new rate is yet to be annouced)
2404 11 00*,Products containing tobacco or reconstituted tobacco and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
2404 19 00*,Products containing tobacco or nicotine substitutes and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
2515 12 10,Marble and travertine blocks,12,5
2804 40 10,Medical grade oxygen,12,5
28 or 38,"Micronutrients, which are covered under serial number 1(g) of Schedule 1, Part (A) of the Fertilizer Control Order, 1985 and are manufactured by the manufacturers which are registered under the Fertilizer Control Order, 1985",12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3605 00 10,All goods-safety matches,12,5
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
4202 22 20,"Hand bags and shopping bags, of cotton",12,5
4202 22 30,"Hand bags and shopping bags, of jute",12,5
"4416, 4421 99 90","Handicraft- Carved wood products, art ware/ decorative articles of wood (including inlay work, casks, barrel, vats)",12,5
4502 00 00,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",12,5
4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; [other than Uncoated paper and paperboard for exercise book, graph book, laboratory notebook and notebooks]",12,18
4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 4802 or 4803",12,18
4806 20 00,Greaseproof papers,12,18
4806 40 10,Glassine papers,12,18
"4819 10, 4819 20","Cartons, boxes and cases of,- (a) Corrugated paper or paper boards; or (b) Non-corrugated paper or paper board",12,5
5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of headings 6002 to 6006",12,5
61,"Articles of apparel and clothing accessories, knitted or crocheted, of sale value exceeding Rs. 2500 per piece",12,18
62,"Articles of apparel and clothing accessories, not knitted or crocheted, of sale value exceeding Rs. 2500 per piece",12,18
63 [other than 6309],"Other made up textile articles, sets of sale value exceeding Rs. 2500 per piece [other than Worn clothing and other worn articles; rags]",12,18
6603,"Parts, trimmings and accessories of articles of heading 6601 or 6602",12,5
"691200 10, 6912 00 20","Handicraft-Tableware and kitchenware of clay and terracotta, other clay articles",12,5
7009 92 00,Handicraft-Ornamental framed mirrors,12,5
7015 10,Glasses for corrective spectacles and flint buttons,12,5
7018 90 10,Handicraft-Glass statues [other than those of crystal],12,5
7321 or 8516,Solar cookers,12,5
8408,Fixed Speed Diesel Engines of power not exceeding 15HP,12,5
8408 20 20,Agricultural Diesel Engine of cylinder capacity exceeding 250 cc for Tractor,18,5
8413,"Pumps for dispensing fuel or lubricants of the type used in filling stations or garages [8413 11], Fuel, lubricating or cooling medium pumps for internal combustion piston engines [8413 30]",28,18
8413 81 90,Hydraulic Pumps for Tractors,18,5
8414 20 20,Other hand pumps,12,5
8419 12,Solar water heater and system,12,5
8422,"Dish washing machines, household [8422 11 00] and other [8422 19 00]",28,18
8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers; Parts [8432 90]",12,5
8701,Tractors (except road tractors for semi-trailers of engine capacity more than 1800 cc),12,5
8701,Road tractors for semi-trailers of engine capacity more than 1800 cc,28,18
8702,"Motor vehicles for the transport of ten or more persons, including the driver [other than buses for use in public transport, which exclusively run on Bio-fuels which is already at 18%]",28,18
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
8703,"Petrol, Liquefied petroleum gases (LPG) or compressed natural gas (CNG) driven motor vehicles of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm.",28,18
8703,Diesel driven motor vehicles of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm.,28,18
8702 or 8703,"Motor vehicles cleared as ambulances duly fitted with all the fitments, furniture and accessories necessary for an ambulance from the factory manufacturing such motor vehicles",28,18
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
"870340, 870360","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity exceeding 1200cc or of length exceeding 4000 mm",28,40
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
"870350, 870370","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity exceeding 1500cc or of length exceeding 4000 mm",28,40
8704,Motor vehicles for the transport of goods [other than Refrigerated motor vehicles which is already at 18%],28,18
8706,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705",28,18
8707,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",28,18
8708,Parts and accessories of the motor vehicles of headings 8701 to 8705 [other than specified parts of tractors],28,18
8708 10 10,Bumpers and parts thereof for tractors,18,5
8708 92 00,Silencer assembly for tractors and parts thereof,18,5
8716 20 00,Self-loading or self-unloading trailers for agricultural purposes,12,5
8802,Aircraft for personal use.,28,40
8903,Yacht and other vessels for pleasure or sports,28,40
9302,"Revolvers and pistols, other than those of heading 9303 or 9304",28,40
9404,Products wholly made of quilted textile material not exceeding Rs. 2500 per piece,12,5
9404,Products wholly made of quilted textile material exceeding Rs. 2500 per piece,12,18
9404,Cotton quilts of sale value exceeding Rs. 2500 per piece,12,18
"0402 91 10, 0402 99 20",Condensed milk,12,5
1905 90 30,"Extruded or expanded products, savoury or salted",12,5
2102,"Yeasts (active and inactive); other single cell micro- organisms, dead (but not including vaccines of heading 3002); prepared baking powders",12,5
2202 99 30,Beverages containing milk,12,5
28 or 38,"Micronutrients, which are covered under serial number 1(g) of Schedule 1, Part (A) of the Fertilizer Control Order, 1985 and are manufactured by the manufacturers which are registered under the Fertilizer Control Order, 1985",12,5
29 or 380893,Gibberellic acid,12,5
"29061110, 30, 3301",Following goods from natural menthol namely: a. Menthol and menthol crystals b. Peppermint (Mentha oil) c. Fractionated/ de-terpinated mentha oil (DTMO) d. De-mentholised oil(DMO) e. Spearmint oil f. Mentha piperita oil,12,5
"29061190, 30, 3301","Following goods made from other than natural menthol, namely: a. Menthol and menthol crystals b. Peppermint (Mentha oil) c. Fractionated/ de-terpinated mentha oil (DTMO) d. De-mentholised oil(DMO) e. Spearmint oil f. Mentha piperita oil",12,18
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3003,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale, including Ayurvedic, Unani, Siddha, homoeopathic or Bio-chemic systems medicaments",12,5
3004,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale, including Ayurvedic, Unani, homoeopathic siddha or Bio-chemic systems medicaments, put up for retail sale",12,5
3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 3501",18,5
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
4013 90 49,Tube for tractor tyres,18,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
4202 22 30,"Hand bags and shopping bags, of jute",12,5
4503 90 90 4504 90,Handicraft- Art ware of cork [including articles of sholapith],12,5
4805,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter",12,18
4817 30,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery",12,5
63 [other than 6309],"Other made up textile articles, sets of sale value exceeding Rs. 2500 per piece [other than Worn clothing and other worn articles; rags]",12,18
6913 90 00,Handicraft-Statuettes & other ornamental ceramic articles (incl blue potteries),12,5
7419 80 30,Brass Kerosene Pressure Stove,12,5
8413,"Pumps for dispensing fuel or lubricants of the type used in filling stations or garages [8413 11], Fuel, lubricating or cooling medium pumps for internal combustion piston engines [8413 30]",28,18
8413 81 90,Hydraulic Pumps for Tractors,18,5
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
8708 30 00,Brakes assembly and its parts thereof for tractors,18,5
8708 91 00,(i) Radiator assembly for tractors and parts thereof Cooling system for tractor engine and parts thereof,18,5
8708 93 00,Clutch assembly and its parts thereof for tractors,18,5
8711,"Motor cycles of engine capacity (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars, of an engine capacity not exceeding 350cc; side cars",28,18
8711,Motor cycles of engine capacity exceeding 350 cc,28,40
9302,"Revolvers and pistols, other than those of heading 9303 or 9304",28,40
9401 20 00,Seats of a kind used for motor vehicles,28,18
"940150, 9403 80","Handicraft- Furniture of bamboo, rattan and cane",12,5
"9619 00 30, 9619 00 40, or 9619 00 90","All goods- napkins and napkin liners for babies, clinical diapers",12,5
406,"Chena or paneer, pre-packaged and labelled",5,Nil
1404 90 10,Bidi wrapper leaves (tendu),18,5
1404 90 50,Indian katha,18,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
1904 [other than 1904 10 20],"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes, Fortified Rice Kernel (FRK)",18,5
2202 10,"All goods (including aerated waters), containing added sugar or other sweetening matter or flavoured",28,40
"2202 91 00, 2202 99",Other non-alcoholic beverages,18,40
2404 11 00*,Products containing tobacco or reconstituted tobacco and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
2804 40 10,Medical grade oxygen,12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3006,"Pharmaceutical goods specified in Note 4 to this Chapter [i.e. Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable; Waste pharmaceuticals] [other than contraceptives]",12,5
